,METER_DATE,temp_outdoor,temp_dew_point,temp_ground,humidity,rainfall,snowfall,snowfall_3hr,wind_speed,wind_direction,pressure_vapor,pressure_area,pressure_sea,sunshine,solar_radiation,cloud_total,cloud_midlow,visual_range
114,2024-01-05 18:00:00,3.8,1.0,2.2,82.0,,,,2.2,230,6.6,1015.5,1020.5,0.0,0.02,0.0,0.0,333
115,2024-01-05 19:00:00,3.5,1.5,1.2,87.0,,,,2.3,250,6.8,1015.8,1020.8,,,0.0,0.0,290
116,2024-01-05 20:00:00,3.1,1.4,0.5,89.0,,,,1.7,270,6.8,1016.2,1021.2,,,0.0,0.0,287
117,2024-01-05 21:00:00,2.4,0.9,-0.2,90.0,,,,1.4,250,6.5,1016.4,1021.4,,,0.0,0.0,305
118,2024-01-05 22:00:00,1.4,0.0,-0.3,90.0,,,,1.1,270,6.1,1016.6,1021.6,,,0.0,0.0,357
119,2024-01-05 23:00:00,0.8,-0.8,-0.3,89.0,,,,1.5,250,5.8,1016.9,1021.9,,,0.0,0.0,687
120,2024-01-06 00:00:00,0.0,-1.9,-0.9,87.0,,,,1.7,250,5.3,1016.7,1021.8,,,0.0,0.0,1537
121,2024-01-06 01:00:00,-0.9,-2.3,-1.2,90.0,,,,1.3,250,5.2,1017.0,1022.1,,,0.0,0.0,1356
122,2024-01-06 02:00:00,-1.5,-3.2,-1.6,88.0,,,,1.1,250,4.8,1017.0,1022.1,,,0.0,0.0,1881
123,2024-01-06 03:00:00,-1.9,-3.4,-2.1,89.0,,,,0.8,250,4.8,1017.4,1022.5,,,0.0,0.0,2395
124,2024-01-06 04:00:00,-2.3,-3.8,-2.5,89.0,,,,0.8,270,4.6,1017.4,1022.5,,,0.0,0.0,2294
125,2024-01-06 05:00:00,-2.4,-5.3,-2.6,80.0,,,,1.3,290,4.1,1017.4,1022.5,,,0.0,0.0,3250
126,2024-01-06 06:00:00,-2.7,-6.1,-2.9,77.0,,,,1.1,340,3.9,1017.6,1022.7,,,0.0,0.0,3503
127,2024-01-06 07:00:00,-3.4,-5.2,-3.2,87.0,,,,0.5,250,4.2,1018.2,1023.3,,,0.0,0.0,2203
128,2024-01-06 08:00:00,-3.1,-5.4,-3.0,84.0,,,,0.6,180,4.1,1018.6,1023.7,0.0,0.0,0.0,0.0,2692
129,2024-01-06 09:00:00,-0.3,-6.5,-1.6,63.0,,,,0.8,180,3.8,1018.9,1024.0,0.9,0.33,0.0,0.0,4582
130,2024-01-06 10:00:00,1.1,-8.1,-0.9,50.0,,,,1.4,320,3.3,1019.1,1024.1,1.0,0.88,0.0,0.0,5000
131,2024-01-06 11:00:00,2.2,-9.1,2.3,43.0,,,,1.9,290,3.1,1018.5,1023.5,1.0,1.39,0.0,0.0,5000
132,2024-01-06 12:00:00,3.3,-9.0,5.1,40.0,,,,2.3,290,3.1,1017.9,1022.9,1.0,1.73,0.0,0.0,5000
133,2024-01-06 13:00:00,3.6,-9.4,11.5,38.0,,,,3.3,320,3.0,1017.4,1022.4,1.0,1.84,0.0,0.0,5000
134,2024-01-06 14:00:00,4.3,-8.1,12.6,40.0,,,,2.4,290,3.3,1016.8,1021.8,1.0,1.74,0.0,0.0,5000
135,2024-01-06 15:00:00,4.4,-6.8,8.6,44.0,,,,3.2,250,3.7,1016.8,1021.8,1.0,1.47,0.0,0.0,5000
136,2024-01-06 16:00:00,4.2,-6.9,4.0,44.0,,,,2.7,270,3.6,1016.8,1021.8,1.0,0.96,1.0,0.0,5000
137,2024-01-06 17:00:00,2.9,-9.0,0.6,41.0,,,,2.3,270,3.1,1017.2,1022.2,1.0,0.4,3.0,3.0,5000
138,2024-01-06 18:00:00,1.6,-9.9,-0.2,42.0,,,,0.9,250,2.9,1017.3,1022.3,0.1,0.03,4.0,4.0,5000
139,2024-01-06 19:00:00,0.7,-3.4,-0.3,74.0,,,,2.6,290,4.8,1017.5,1022.5,,,9.0,9.0,693
